2022-01-11 06:02:31.077> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0110 29136-CZ000 2022-01-04
2022-01-11 06:02:32.247> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1107 29135-N7000 2022-01-04
2022-01-11 06:02:33.370> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0250 29134-N7000 2022-01-07
2022-01-11 06:02:38.082> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0159 29150-CZ000 2022-01-03
2022-01-11 06:02:42.902> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220003012064971N7000
2022-01-11 06:02:44.899> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220002012064981N7000
2022-01-11 06:08:05.146> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0304 29136-N70002022-01-04 
2022-01-11 06:08:05.614> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1103 29135-N7000 2022-01-04
2022-01-11 06:08:06.113> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0601 29134-N7000 2022-01-04
2022-01-11 06:08:10.793> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0131 29150-N7000 2022-01-03
2022-01-11 06:08:17.221> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220003012064971N7000
2022-01-11 06:08:18.313> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220002012064981N7000
2022-01-11 06:10:26.596> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0018 29135-N7600 2021-12-22
2022-01-11 06:10:29.809> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0260 29150-N7600 2022-01-05
2022-01-11 06:12:15.706> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25414-K400000000050
2022-01-11 06:12:16.392> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25415-K400000000030
2022-01-11 06:12:25.440> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VLN52P81130J9000SH01EHJ9L0410T211015IH31A0003426CHL03
2022-01-11 06:15:10.494> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0111 29136-CZ000 2022-01-04
2022-01-11 06:15:11.476> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1092 29135-N7000 2022-01-04
