2022-01-22 00:00:10.860> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25414-K400000000050
2022-01-22 00:00:11.656> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25415-K400000000030
2022-01-22 00:00:20.377> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VLN52P81130J9000SH01EHJ9L0410T211015IH31A0003148CHL03
2022-01-22 00:10:02.213> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0206 29136-N70002022-01-19 
2022-01-22 00:10:02.728> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1437 29135-N7000 2022-01-19
2022-01-22 00:10:03.414> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1681 29134-N7000 2022-01-19
2022-01-22 00:10:09.139> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0038 29150-N7000 2022-01-14
2022-01-22 00:10:13.960> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:10:15.692> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:12:10.574> Wait for trolley! Check limit switch.
2022-01-22 00:13:05.004> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0203 29136-N70002022-01-19 
2022-01-22 00:13:06.735> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1457 29135-N7000 2022-01-19
2022-01-22 00:13:07.625> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0277 29134-N7000 2022-01-20
2022-01-22 00:13:18.420> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0040 29150-N7000 2022-01-14
2022-01-22 00:13:25.113> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:13:26.080> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:15:10.588> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0086 29136-CZ000 2022-01-19
2022-01-22 00:15:12.054> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1436 29135-N7000 2022-01-19
2022-01-22 00:15:13.552> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1658 29134-N7000 2022-01-19
2022-01-22 00:15:16.734> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0157 29150-CZ000 2022-01-20
2022-01-22 00:15:35.159> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VUR49P95460N9000SN900T2108262300A0448
2022-01-22 00:15:35.954> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:15:37.920> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:16:01.695> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0205 29136-N70002022-01-19 
2022-01-22 00:16:02.288> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1446 29135-N7000 2022-01-19
2022-01-22 00:16:03.286> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1664 29134-N7000 2022-01-19
2022-01-22 00:16:07.670> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0039 29150-N7000 2022-01-14
2022-01-22 00:16:12.756> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:16:14.519> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:17:20.400> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0201 29136-N70002022-01-19 
2022-01-22 00:17:21.148> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1439 29135-N7000 2022-01-19
2022-01-22 00:17:22.162> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0279 29134-N7000 2022-01-20
2022-01-22 00:17:29.167> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0044 29150-N7000 2022-01-14
2022-01-22 00:17:32.053> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:17:33.613> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:18:21.600> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15MU
2022-01-22 00:18:21.990> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15ML
2022-01-22 00:18:27.575> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92101G4510     SPP2LEHG4M0001 T220118HA5CA00010731A M CL009PP2L0045228
2022-01-22 00:18:28.917> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92102G4510     SPP2REHG4M0001 T220118HA6CA00008471A M CR009PP2R0044783
2022-01-22 00:18:32.583> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VD136P81130G3000SG30EHS0K0176T210907V3N1AL5100QIG2822MN
2022-01-22 00:19:51.724> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0202 29136-N70002022-01-19 
2022-01-22 00:19:52.317> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1451 29135-N7000 2022-01-19
2022-01-22 00:19:53.019> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0252 29134-N7000 2022-01-20
2022-01-22 00:20:06.997> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0042 29150-N7000 2022-01-14
2022-01-22 00:20:11.085> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:20:12.863> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:21:06.404> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0200 29136-N70002022-01-19 
2022-01-22 00:21:08.042> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1442 29135-N7000 2022-01-19
2022-01-22 00:21:09.041> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0251 29134-N7000 2022-01-20
2022-01-22 00:21:14.953> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0033 29150-N7000 2022-01-14
2022-01-22 00:21:19.586> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:21:21.209> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:22:06.045> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0078 29136-CZ000 2022-01-19
2022-01-22 00:22:06.762> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1433 29135-N7000 2022-01-19
2022-01-22 00:22:07.714> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0274 29134-N7000 2022-01-20
2022-01-22 00:22:11.879> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0158 29150-CZ000 2022-01-20
2022-01-22 00:22:16.996> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:22:18.026> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:22:59.040> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0197 29136-N70002022-01-19 
2022-01-22 00:23:00.022> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1440 29135-N7000 2022-01-19
2022-01-22 00:23:00.974> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0278 29134-N7000 2022-01-20
2022-01-22 00:23:10.787> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0045 29150-N7000 2022-01-14
2022-01-22 00:23:16.263> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:23:17.417> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:23:41.941> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25414-K400000000050
2022-01-22 00:23:42.893> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25415-K400000000030
2022-01-22 00:23:52.783> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VLN52P81130J9000SH01EHJ9L0410T211015IH31A0003140CHL03
2022-01-22 00:24:47.198> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0199 29136-N70002022-01-19 
2022-01-22 00:24:47.916> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0756 29135-N7000 2022-01-20
2022-01-22 00:24:48.914> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1680 29134-N7000 2022-01-19
2022-01-22 00:24:53.953> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0046 29150-N7000 2022-01-14
2022-01-22 00:24:58.415> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:25:00.318> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:25:48.820> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0196 29136-N70002022-01-19 
2022-01-22 00:25:49.600> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0761 29135-N7000 2022-01-20
2022-01-22 00:25:51.347> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1673 29134-N7000 2022-01-19
2022-01-22 00:25:55.762> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0447 29150-N7000 2022-01-19
2022-01-22 00:26:00.567> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:26:02.283> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:27:05.652> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: N70 0758 29135-N7000 2022-01-20
2022-01-22 00:27:06.417> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NL70 0198 29136-N70002022-01-19 
2022-01-22 00:27:07.166> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NR70 0270 29134-N7000 2022-01-20
2022-01-22 00:27:18.623> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0077 29136-CZ000 2022-01-19
2022-01-22 00:27:19.590> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0758 29135-N7000 2022-01-20
2022-01-22 00:27:20.308> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0270 29134-N7000 2022-01-20
