2022-01-27 00:00:00.134> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0129 29150-N7600 2022-01-07
2022-01-27 00:00:02.287> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2501220007012064971N7000
2022-01-27 00:00:03.691> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2501220006012064981N7000
2022-01-27 00:10:41.673> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0329 29136-N70002022-01-24 
2022-01-27 00:10:44.856> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0324 29135-N7000 2022-01-26
2022-01-27 00:10:46.447> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0142 29134-N7000 2022-01-25
2022-01-27 00:10:50.831> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0518 29150-N7000 2022-01-24
2022-01-27 00:10:53.202> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2501220007012064971N7000
2022-01-27 00:10:55.323> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2501220006012064981N7000
2022-01-27 00:11:28.381> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0467 29135-N7600 2022-01-04
2022-01-27 00:11:51.844> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0131 29150-N7600 2022-01-07
2022-01-27 00:11:53.701> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2501220007012064971N7000
2022-01-27 00:11:56.337> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2501220006012064981N7000
2022-01-27 00:12:47.257> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0178 29136-CZ000 2022-01-25
2022-01-27 00:12:50.065> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0339 29135-N7000 2022-01-26
2022-01-27 00:12:51.766> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0146 29134-N7000 2022-01-25
2022-01-27 00:12:55.369> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0312 29150-CZ000 2022-01-24
2022-01-27 00:12:58.068> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2501220007012064971N7000
2022-01-27 00:13:00.112> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2501220006012064981N7000
2022-01-27 00:13:48.863> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15MU
2022-01-27 00:13:50.314> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15ML
2022-01-27 00:13:53.466> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92101G4500     SPP1LEHG4M0001 T211104HA5BA00006211A M CL009PP1L0000984
